"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Denzel Boston","CLE","WR60","1.0","5.0","0.0","57.4","741.5","3.5","1.3","93.0"
"Tyrone Tracy Jr.","NYG","RB46","119.7","506.8","2.5","27.3","210.8","1.2","0.8","92.8"
"Tyjae Spears","TEN","RB47","94.8","379.6","3.0","45.9","306.1","1.2","0.7","92.2"
"Tre Tucker","LV","WR61","11.2","52.6","0.2","50.2","635.6","3.8","0.1","92.1"
"Brenton Strange","JAC","TE17","0.0","0.0","0.0","60.0","661.2","4.3","0.2","91.7"
"Tank Dell","HOU","WR62","10.2","48.8","0.1","50.0","630.7","3.8","0.2","91.2"
"Jerry Jeudy","CLE","WR63","0.5","2.0","0.0","54.7","747.4","2.9","0.7","90.7"
"Chris Rodriguez Jr.","JAC","RB48","135.5","560.8","5.1","5.4","42.8","0.1","0.6","90.2"
"Juwan Johnson","NO","TE18","0.0","0.0","0.0","64.7","730.4","3.3","1.3","90.0"
"Ja'Kobi Lane","BAL","WR64","1.5","8.5","0.0","37.8","569.3","5.2","0.7","87.9"
"Jalen McMillan","TB","WR65","4.7","26.8","0.1","46.6","607.3","3.9","0.2","87.2"
"Jalen Nailor","LV","WR66","2.0","8.5","0.0","43.7","591.2","4.5","0.2","86.8"
"Brian Robinson Jr.","ATL","RB49","129.8","564.2","4.3","6.9","43.1","0.1","0.7","86.1"
"Jauan Jennings","MIN","WR67","0.0","0.0","0.0","48.7","557.7","5.2","0.7","85.3"
"Dalton Schultz","HOU","TE19","0.0","0.0","0.0","65.8","628.7","3.4","0.2","82.7"
"Braelon Allen","NYJ","RB50","111.8","449.0","4.5","13.9","100.8","0.7","1.7","82.6"
"AJ Dillon","CAR","RB51","120.0","529.0","3.0","18.0","146.0","1.0","5.0","81.5"
"Pat Freiermuth","PIT","TE20","0.0","0.0","0.0","53.0","560.0","4.3","0.2","81.2"
"Terrance Ferguson","LAR","TE21","0.0","0.0","0.0","37.3","516.8","4.8","0.2","80.1"
"Jordyn Tyson","NO","WR68","0.3","2.3","0.0","45.5","613.7","3.2","0.7","79.6"
"Justice Hill","BAL","RB52","56.4","273.7","2.2","32.7","283.4","1.8","0.2","79.4"
"Greg Dulcich","MIA","TE22","0.0","0.0","0.0","54.6","620.0","3.2","1.2","79.0"
"Devaughn Vele","NO","WR69","0.0","0.0","0.0","47.3","567.9","3.7","0.2","78.5"
"Tank Bigsby","PHI","RB53","104.6","510.9","4.2","3.8","31.8","0.1","0.7","78.4"
"Samaje Perine","CIN","RB54","98.5","441.8","3.7","17.9","135.7","0.4","1.9","78.2"
"Tyler Allgeier","ARI","RB55","111.7","424.8","4.2","17.1","108.4","0.2","0.6","78.2"
"Cooper Kupp","SEA","WR70","0.5","1.5","0.0","47.4","584.8","3.4","0.7","77.8"
"Kenyon Sadiq","NYJ","TE23","0.0","0.0","0.0","49.7","546.6","4.1","0.7","77.6"
"T.J. Hockenson","MIN","TE24","0.0","0.0","0.0","63.9","574.5","3.3","0.2","76.7"
"Kayshon Boutte","NE","WR71","0.0","0.0","0.0","33.2","501.5","4.3","0.1","75.9"
"AJ Barner","SEA","TE25","0.0","0.0","0.0","48.6","469.9","4.9","0.2","75.8"
"Jordan James","SF","RB56","100.1","407.1","3.1","16.1","148.5","0.7","1.2","75.7"
"Adonai Mitchell","NYJ","WR72","2.1","5.1","0.1","39.7","549.3","3.3","0.7","74.1"
"Cade Otton","TB","TE26","0.0","0.0","0.0","54.8","557.8","3.1","0.1","74.1"
"Chig Okonkwo","WAS","TE27","0.0","0.0","0.0","52.8","569.8","2.8","0.1","73.4"
"Dylan Sampson","CLE","RB57","73.5","254.1","1.4","35.9","285.1","2.1","1.2","72.1"
"Ty Johnson","BUF","RB58","51.9","218.8","2.0","24.9","252.7","2.1","0.2","71.6"
"Travis Hunter","JAC","WR73","2.0","10.8","0.1","41.6","496.6","3.3","0.4","70.2"
"Keaton Mitchell","LAC","RB59","95.6","432.8","2.2","15.5","114.5","0.4","0.7","68.9"
"Oronde Gadsden II","LAC","TE28","0.0","0.0","0.0","40.4","509.2","3.2","0.6","68.8"
"Antonio Williams","WAS","WR74","3.5","18.7","0.1","35.5","497.2","3.1","1.2","68.7"
"Bub Means","NO","WR75","1.0","6.0","0.0","38.0","519.0","3.0","1.0","68.5"
"Dontayvion Wicks","PHI","WR76","0.0","0.0","0.0","39.5","517.8","2.9","0.4","68.4"
"Germie Bernard","PIT","WR77","2.1","10.8","0.0","41.2","507.7","2.9","0.7","68.0"
"Mike Washington Jr.","LV","RB60","101.0","379.6","2.6","15.7","127.5","0.6","1.2","67.8"
"Tyquan Thornton","KC","WR78","0.0","0.0","0.0","25.4","467.7","3.5","0.1","67.5"
"Malik Washington","MIA","WR79","13.5","80.8","0.7","45.6","414.2","2.4","0.8","66.5"
"Emari Demercado","KC","RB61","76.8","427.0","1.7","16.4","119.7","0.8","1.7","66.4"
"Caleb Douglas","MIA","WR80","1.0","5.5","0.0","39.6","511.4","2.6","0.7","65.8"
"Darren Waller","CAR","TE29","0.0","0.0","0.0","37.4","392.8","4.3","0.1","65.1"
"Mike Gesicki","CIN","TE30","0.0","0.0","0.0","41.4","434.3","3.6","0.1","64.7"
"Darius Slayton","NYG","WR81","1.6","8.6","0.0","35.7","526.1","2.0","0.7","64.4"
"Kaelon Black","SF","RB62","93.7","369.8","3.0","8.5","79.2","0.6","1.1","64.4"
"Tory Horton","SEA","WR82","0.5","3.0","0.0","30.3","401.5","4.2","0.6","64.2"
"Troy Franklin","DEN","WR83","3.0","10.8","0.0","36.5","403.2","3.9","0.6","63.8"
"Evan Engram","DEN","TE31","0.0","0.0","0.0","53.4","475.9","2.7","0.1","63.7"
"Gunnar Helm","TEN","TE32","0.0","0.0","0.0","48.9","444.1","3.1","0.2","62.7"
"David Njoku","LAC","TE33","0.0","0.0","0.0","38.3","363.2","4.3","0.1","61.8"
"Najee Harris","NYG","RB63","80.0","353.0","3.0","9.0","75.0","0.0","0.0","60.8"
"Isaac TeSlaa","DET","WR84","0.0","0.0","0.0","25.4","352.4","4.1","0.1","59.7"
"Chris Bell","MIA","WR85","1.0","5.5","0.0","35.4","445.9","2.6","0.6","59.4"
"Omar Cooper Jr.","NYJ","WR86","2.1","12.5","0.1","34.6","410.8","2.9","0.6","58.5"
"Colby Parkinson","LAR","TE34","0.0","0.0","0.0","34.3","352.5","4.0","0.6","58.2"
"Xavier Legette","CAR","WR87","2.1","10.8","0.1","35.9","417.6","2.6","0.4","57.9"
"Jahan Dotson","ATL","WR88","0.0","0.0","0.0","35.2","443.3","2.3","0.3","57.3"
"Jonah Coleman","DEN","RB64","65.5","272.4","2.1","17.4","126.6","0.8","0.3","56.7"
"Adam Randall","BAL","RB65","55.1","281.2","2.0","10.8","108.4","1.1","0.6","56.2"
"Christian Kirk","SF","WR89","0.0","0.0","0.0","34.5","406.4","2.6","0.1","55.9"
"Ryan Flournoy","DAL","WR90","2.2","12.4","0.1","33.8","383.0","2.7","0.4","55.4"
"Tre' Harris","LAC","WR91","0.0","0.0","0.0","34.5","410.5","2.5","0.4","55.2"
"Mason Taylor","NYJ","TE35","0.0","0.0","0.0","45.8","403.5","2.4","0.1","54.8"
"Elic Ayomanor","TEN","WR92","0.0","0.0","0.0","25.4","342.8","3.3","0.0","54.0"
"Ted Hurst III","TB","WR93","1.0","6.5","0.0","29.4","389.9","2.6","0.6","53.8"
"Hollywood Brown","PHI","WR94","0.0","0.0","0.0","28.2","349.4","3.0","0.1","52.9"
"Andrei Iosivas","CIN","WR95","2.5","11.0","0.0","27.8","352.4","2.6","0.1","51.8"
"Jalen Tolbert","MIA","WR96","0.0","0.0","0.0","33.9","420.3","1.7","0.3","51.6"
"Chimere Dike","TEN","WR97","10.1","33.7","0.3","27.8","271.6","3.4","0.6","51.4"
"Malik Benson","LV","WR98","1.0","4.0","0.0","33.7","401.2","1.9","0.6","50.7"
"Dawson Knox","BUF","TE36","0.0","0.0","0.0","28.6","331.7","2.9","0.1","50.6"
"Keon Coleman","BUF","WR99","0.0","0.0","0.0","24.4","337.7","2.8","0.2","50.2"
"Michael Mayer","LV","TE37","0.0","0.0","0.0","40.0","378.0","2.1","0.1","50.2"
"Chris Brooks","GB","RB66","72.7","324.1","1.3","13.4","93.3","0.2","0.6","49.8"
"Zachariah Branch","ATL","WR100","0.0","0.0","0.0","31.4","381.7","1.9","0.3","48.9"
"Theo Johnson","NYG","TE38","0.0","0.0","0.0","27.5","313.7","2.9","0.1","48.4"
"Kimani Vidal","LAC","RB67","60.2","234.2","1.6","11.9","104.5","0.7","0.1","47.1"
"Ashton Dulin","IND","WR101","5.1","46.1","0.1","17.5","338.3","1.3","0.1","46.6"
"Jaydon Blue","DAL","RB68","62.4","263.0","1.9","8.7","61.7","0.4","0.3","45.9"
"Jaylin Noel","HOU","WR102","4.2","22.2","0.1","28.7","323.0","1.8","0.3","45.6"
"MarShawn Lloyd","GB","RB69","62.3","259.0","1.9","8.5","62.9","0.4","0.2","45.5"
"KaVontae Turpin","DAL","WR103","17.8","103.2","0.4","18.1","229.5","1.7","0.4","45.4"
"Tyler Higbee","LAR","TE39","0.0","0.0","0.0","26.1","306.5","2.4","0.0","45.1"
"Pat Bryant","DEN","WR104","0.0","0.0","0.0","28.4","320.5","2.1","0.3","44.2"
"Joshua Palmer","BUF","WR105","0.0","0.0","0.0","25.9","342.2","1.6","0.1","43.8"
"Emanuel Wilson","SEA","RB70","70.2","290.5","1.7","7.7","52.1","0.0","0.5","43.6"
"Jaylen Wright","MIA","RB71","79.9","308.9","1.5","7.2","52.5","0.1","1.2","43.5"
"James Conner","ARI","RB72","42.5","153.5","1.5","18.0","131.5","1.0","0.0","43.5"
"Darnell Washington","PIT","TE40","0.0","0.0","0.0","30.7","329.1","2.0","0.6","43.4"
"Marvin Mims Jr.","DEN","WR106","8.2","45.2","0.3","24.1","273.1","1.6","0.4","42.7"
"Malik Davis","DAL","RB73","57.5","276.5","2.0","4.5","37.5","0.0","0.5","42.4"
"Darnell Mooney","NYG","WR107","2.2","11.9","0.1","21.4","308.6","1.7","0.2","42.1"
"Cole Kmet","CHI","TE41","0.0","0.0","0.0","26.2","274.1","2.2","0.1","40.6"
"Jahdae Walker","CHI","WR108","0.5","3.5","0.0","17.6","233.3","2.7","0.0","39.6"
"Olamide Zaccheaus","ATL","WR109","1.5","9.5","0.0","30.1","276.7","1.8","0.1","39.3"
"Savion Williams","GB","WR110","9.0","46.9","0.3","20.5","230.9","1.7","0.3","39.3"
"Calvin Austin III","NYG","WR111","0.0","0.0","0.0","19.6","261.7","2.2","0.0","39.2"
"Jawhar Jordan","HOU","RB74","51.3","218.0","1.1","11.0","86.0","0.5","0.5","39.1"
"DeMario Douglas","NE","WR112","4.1","21.4","0.2","22.7","270.9","1.5","0.3","38.6"
"Erick All Jr.","CIN","TE42","0.0","0.0","0.0","30.5","268.6","1.9","0.1","38.3"
"Jack Bech","LV","WR113","0.0","0.0","0.0","27.7","315.0","1.2","0.3","38.1"
"Malachi Fields","NYG","WR114","0.0","0.0","0.0","23.0","279.5","1.5","0.2","36.7"
"Cedric Tillman","CLE","WR115","0.0","-0.5","0.0","18.5","235.6","2.1","0.0","36.1"
"Luke McCaffrey","WAS","WR116","0.0","0.0","0.0","14.4","221.1","2.3","0.0","35.5"
"Demarcus Robinson","SF","WR117","0.5","2.5","0.0","17.6","253.0","1.7","0.0","35.4"
"Will Kacmarek","MIA","TE43","0.0","0.0","0.0","26.6","251.2","1.9","0.6","35.3"
"Tutu Atwell","MIA","WR118","2.2","11.4","0.1","21.8","311.6","0.5","0.2","35.3"
"Charlie Kolar","LAC","TE44","0.0","0.0","0.0","20.2","230.3","2.0","0.1","35.2"
"Noah Fant","NO","TE45","0.0","0.0","0.0","29.3","274.5","1.6","1.6","33.9"
"Josh Oliver","MIN","TE46","0.0","0.0","0.0","18.6","194.3","2.4","0.1","33.6"
"Isaiah Davis","NYJ","RB75","35.1","174.7","1.2","9.9","78.7","0.2","0.1","33.5"
"Austin Hooper","ATL","TE47","0.0","0.0","0.0","22.5","236.4","1.6","0.1","33.1"
"George Holani","SEA","RB76","38.9","164.1","1.5","8.0","62.2","0.3","0.2","33.1"
"Daniel Bellinger","TEN","TE48","0.0","0.0","0.0","19.3","222.3","1.8","0.0","32.6"
"Frank Gore Jr.","BUF","RB77","37.0","174.0","2.0","3.0","26.0","0.0","0.0","32.0"
"Roschon Johnson","CHI","RB78","34.0","116.0","3.0","3.0","18.0","0.0","0.0","31.4"
"Brock Wright","DET","TE49","0.0","0.0","0.0","19.9","175.6","2.3","0.0","31.4"
"Kyle Juszczyk","SF","RB79","4.2","10.3","0.1","23.7","209.0","1.5","0.1","31.1"
"Theo Wease Jr.","MIA","WR190","0.0","0.0","0.0","16.0","233.0","1.3","0.0","31.1"
"Ollie Gordon II","MIA","RB80","49.4","203.5","1.2","3.9","27.7","0.1","0.2","30.9"
"Dyami Brown","WAS","WR119","0.0","0.0","0.0","15.9","216.9","1.6","0.2","30.9"
